Ano,Município,Quantidade produzida (Toneladas),Valor da produção (Mil Reais),Área plantada ou destinada à colheita (Hectares),Área plantada ou destinada à colheita - percentual do total geral (Percentual)
2020,Jangada (MT),6780.0,7927.0,2115.0,59.48
2020,Jauru (MT),0.0,0.0,0.0,0.0
2020,Juara (MT),171600.0,205920.0,52000.0,69.93
2020,Juruena (MT),792.0,1003.0,240.0,10.08
2020,Juscimeira (MT),123981.0,167457.0,35423.0,70.98
2020,Juína (MT),34472.0,44814.0,10446.0,55.4
2020,Lambari D'Oeste (MT),3647.0,3951.0,935.0,8.17
2020,Lucas do Rio Verde (MT),874200.0,1091439.0,235000.0,52.5
2020,Luciara (MT),1860.0,2368.0,600.0,70.18
2020,Marcelândia (MT),237600.0,237600.0,66000.0,64.25
2020,Matupá (MT),145800.0,182250.0,45000.0,53.69
2020,Mirassol d'Oeste (MT),11096.0,12021.0,2845.0,28.65
2020,Nobres (MT),149686.0,183934.0,44535.0,63.63
2020,Nortelândia (MT),85800.0,110081.0,26000.0,56.2
2020,Nossa Senhora do Livramento (MT),2016.0,2621.0,600.0,31.38
2020,Nova Bandeirantes (MT),195.0,228.0,61.0,3.89
2020,Nova Brasilândia (MT),19060.0,24778.0,5776.0,55.74
2020,Nova Canaã do Norte (MT),145200.0,169400.0,44000.0,61.27
2020,Nova Guarita (MT),33840.0,39480.0,9400.0,51.19
2020,Nova Lacerda (MT),93925.0,112710.0,26990.0,78.64
2020,Nova Marilândia (MT),59856.0,75823.0,17200.0,74.45
2020,Nova Maringá (MT),664200.0,747225.0,205000.0,62.73
2020,Nova Monte Verde (MT),13680.0,15960.0,3800.0,68.48
2020,Nova Mutum (MT),1433850.0,1827800.0,395000.0,55.03
2020,Nova Nazaré (MT),52800.0,63191.0,16000.0,84.12
2020,Nova Olímpia (MT),0.0,0.0,0.0,0.0
2020,Nova Santa Helena (MT),85800.0,94380.0,26000.0,68.18
2020,Nova Ubiratã (MT),1449360.0,1731985.0,396000.0,50.51
2020,Nova Xavantina (MT),214500.0,257400.0,65000.0,80.46
2020,Novo Horizonte do Norte (MT),19800.0,22968.0,6000.0,55.39
2020,Novo Mundo (MT),165000.0,181500.0,50000.0,67.6
2020,Novo Santo Antônio (MT),3816.0,4858.0,1200.0,57.83
2020,Novo São Joaquim (MT),244592.0,375040.0,70285.0,57.11
2020,Paranatinga (MT),832000.0,1081600.0,260000.0,72.95
2020,Paranaíta (MT),55340.0,64564.0,15372.0,69.7
2020,Pedra Preta (MT),220979.0,299979.0,65964.0,58.37
2020,Peixoto de Azevedo (MT),115500.0,127050.0,35000.0,63.27
2020,Planalto da Serra (MT),112988.0,146884.0,32468.0,82.09
2020,Poconé (MT),32068.0,42201.0,11020.0,90.37
2020,Pontal do Araguaia (MT),5472.0,8646.0,1520.0,74.8
2020,Ponte Branca (MT),342.0,472.0,107.0,64.07
